index,Feature,Coefficient,Player
SPEEDMAX,CONCENTRIC_PEAK_FORCE,0.07903846762777658,2
JUMPS,CONCENTRIC_PEAK_FORCE,0.03964348681458899,2
PHYSIOLOAD,CONCENTRIC_PEAK_FORCE,0.0647835777257558,2
EXERTIONS,CONCENTRIC_PEAK_FORCE,-0.012087878302284822,2
DISTANCE,CONCENTRIC_PEAK_FORCE,0.05789576257742331,2
AAL,ECCENTRIC_PEAK_FORCE,0.031427045717928065,2
SPEEDMAX,ECCENTRIC_PEAK_FORCE,0.040508974542031284,2
JUMPS,ECCENTRIC_PEAK_FORCE,0.016765613435191635,2
PHYSIOLOAD,ECCENTRIC_PEAK_FORCE,0.032242121009935454,2
EXERTIONS,ECCENTRIC_PEAK_FORCE,-0.006045575396358942,2
DISTANCE,ECCENTRIC_PEAK_FORCE,0.02881412614072065,2
AAL,MEAN_ECCENTRIC_CONCENTRIC_POWER_TIME,0.0,2
SPEEDMAX,MEAN_ECCENTRIC_CONCENTRIC_POWER_TIME,0.0,2
JUMPS,MEAN_ECCENTRIC_CONCENTRIC_POWER_TIME,0.0,2
PHYSIOLOAD,MEAN_ECCENTRIC_CONCENTRIC_POWER_TIME,0.0,2
EXERTIONS,MEAN_ECCENTRIC_CONCENTRIC_POWER_TIME,0.0,2
DISTANCE,MEAN_ECCENTRIC_CONCENTRIC_POWER_TIME,0.0,2
AAL,RSI_MODIFIED,0.028586296014034705,2
SPEEDMAX,RSI_MODIFIED,0.021451675645284562,2
JUMPS,RSI_MODIFIED,0.06158215054851166,2
PHYSIOLOAD,RSI_MODIFIED,0.03781804891261377,2
EXERTIONS,RSI_MODIFIED,-0.008857473466898582,2
DISTANCE,RSI_MODIFIED,0.0337972195713466,2
AAL,TOTAL_WORK,0.03756911041389029,2
SPEEDMAX,TOTAL_WORK,0.04833140382131061,2
JUMPS,TOTAL_WORK,0.03202924858862013,2
PHYSIOLOAD,TOTAL_WORK,0.05129598176116096,2
EXERTIONS,TOTAL_WORK,0.011160172413020648,2
DISTANCE,TOTAL_WORK,0.04584217257299607,2
AAL,ECCENTRIC_UNLOADING_IMPULSE,-0.03734129938329967,2
SPEEDMAX,ECCENTRIC_UNLOADING_IMPULSE,0.047197809901950605,2
JUMPS,ECCENTRIC_UNLOADING_IMPULSE,-0.082775146973849,2
PHYSIOLOAD,ECCENTRIC_UNLOADING_IMPULSE,-0.03759362172881623,2
EXERTIONS,ECCENTRIC_UNLOADING_IMPULSE,0.023657920006156376,2
DISTANCE,ECCENTRIC_UNLOADING_IMPULSE,-0.033596653225405906,2
AAL,POSITIVE_TAKEOFF_IMPULSE,0.025075101623276787,2
SPEEDMAX,POSITIVE_TAKEOFF_IMPULSE,0.01749699898470155,2
JUMPS,POSITIVE_TAKEOFF_IMPULSE,0.018851206343954333,2
PHYSIOLOAD,POSITIVE_TAKEOFF_IMPULSE,0.031484870580174615,2
EXERTIONS,POSITIVE_TAKEOFF_IMPULSE,0.007129937752973808,2
DISTANCE,POSITIVE_TAKEOFF_IMPULSE,0.02813738661495716,2
AAL,RSI_MODIFIED_IMP_MOM,0.0,2
SPEEDMAX,RSI_MODIFIED_IMP_MOM,0.0,2
JUMPS,RSI_MODIFIED_IMP_MOM,0.0,2
PHYSIOLOAD,RSI_MODIFIED_IMP_MOM,0.0,2
EXERTIONS,RSI_MODIFIED_IMP_MOM,0.0,2
DISTANCE,RSI_MODIFIED_IMP_MOM,0.0,2
AAL,TIME,0.1467942812261545,3
SPEEDMAX,TIME,0.039701600663717466,3
JUMPS,TIME,0.15012438020069147,3
PHYSIOLOAD,TIME,0.1450461095541284,3
EXERTIONS,TIME,-0.010187627414532567,3
DISTANCE,TIME,0.11650753440666305,3
AAL,COUNTERMOVEMENT_DEPTH,-0.11164975829919631,3
SPEEDMAX,COUNTERMOVEMENT_DEPTH,0.07940299171461272,3
JUMPS,COUNTERMOVEMENT_DEPTH,-0.09726004775993216,3
PHYSIOLOAD,COUNTERMOVEMENT_DEPTH,-0.1422145946206323,3
EXERTIONS,COUNTERMOVEMENT_DEPTH,-0.0861381380212447,3
DISTANCE,COUNTERMOVEMENT_DEPTH,-0.09983971480028093,3
AAL,MEAN_LANDING_POWER,0.048927320388647486,3
SPEEDMAX,MEAN_LANDING_POWER,-0.0353321188372458,3
JUMPS,MEAN_LANDING_POWER,0.06243186229825021,3
PHYSIOLOAD,MEAN_LANDING_POWER,0.0654639748814169,3
EXERTIONS,MEAN_LANDING_POWER,0.041509608347611554,3
